meta_rxn_id,wilcox_stat,wilcox_pval,cohens_d,adjusted_pval
584,868.0,0.08129178079175023,0.3456801347385265,0.1420127755904661
585,854.0,0.11073935662349187,0.3025215357721582,0.175771887382994
586,919.0,0.022389356971530383,0.4204234083408976,0.05330651611365752
587,1010.0,0.0011620208925088931,0.8210592157941323,0.006108605242271521
588,794.0,0.3375352302008169,0.19662742445480655,0.4247606593815551
589,795.0,0.3322240328040488,0.2549389898717457,0.41838323252026366
590,685.0,0.8528752979143193,-0.03437483717544951,0.8896193186375697
591,816.0,0.23318867523021036,0.1465327295951374,0.3141468124770624
592,855.0,0.10838910569464916,0.1865567268297879,0.17332174203637385
593,919.0,0.022389356971530383,0.35747817179088964,0.05330651611365752
594,927.0,0.01786161670124486,0.4122568980840022,0.044954786397423015
595,942.0,0.011489993867711754,0.4077058533841696,0.03291883243099417
596,893.0,0.04462527596311322,0.3209020937061071,0.09014200867284562
597,901.0,0.036353870632839215,0.3239056704942032,0.0782131459547567
598,959.0,0.006777474899742318,0.5929765145228773,0.022149200290222517
599,972.0,0.0044362866241845125,0.3178789378556607,0.016260078266467328
600,937.0,0.013344284149729447,0.6558703096396176,0.03670211912541587
601,1075.0,8.25546939906307e-05,1.143663764213559,0.0009993768941541845
602,993.0,0.002155762066835239,0.702363698158836,0.009777717659339777
603,1052.0,0.0002215155018452526,1.0262604604016896,0.002014736231068726
604,1029.0,0.0005618569133648872,0.7476868398277134,0.0036309474965197036
605,1096.0,3.1908280556434916e-05,0.9692892105164446,0.0005223841359667773
606,1075.0,8.25546939906307e-05,0.9457367334192519,0.0009993768941541845
607,1071.0,9.841313413187551e-05,0.7769733238035337,0.0011057005070110718
608,943.0,0.011147855246608546,0.6024869151053723,0.03220699692255477
609,960.0,0.006564171546083449,0.17290071536277962,0.02182555297430841
610,990.0,0.002396614151681033,0.6817619340714862,0.010482900068039936
611,919.0,0.022389356971530383,0.5636688424283258,0.05330651611365752
612,998.0,0.0018031415322279788,0.7319956686042023,0.008422826885597541
613,989.0,0.002472337996936358,0.831425264242678,0.010667327895088953
