,wilcox_stat,wilcox_pval,cohens_d,adjusted_pval,metadata_r_id
10FTHF5GLUtl_pos,923.0,0.020013985056576904,0.5803282698603639,0.04900860443341268,10FTHF5GLUtl
10FTHF5GLUtm_pos,857.0,0.10380713263430576,0.20696257631109538,0.1670828286501607,10FTHF5GLUtm
10FTHF6GLUtl_pos,923.0,0.020013985056576904,0.5803282698603639,0.04900860443341268,10FTHF6GLUtl
10FTHF6GLUtm_pos,853.0,0.11312966692982232,0.2813300386935482,0.17792305347883308,10FTHF6GLUtm
10FTHF7GLUtl_pos,923.0,0.020013985056576904,0.5803282698603639,0.04900860443341268,10FTHF7GLUtl
10FTHF7GLUtm_pos,853.0,0.11312966692982232,0.2813300386935482,0.17792305347883308,10FTHF7GLUtm
10FTHFtl_neg,923.0,0.020013985056576904,0.5803282698603639,0.04900860443341268,10FTHFtl
10FTHFtm_neg,661.0,0.6600936756849025,-0.006381034001403625,0.7306510164213441,10FTHFtm
10FTHFtm_pos,874.0,0.07078992055863702,0.4580670981062206,0.1275554228933931,10FTHFtm
11DOCRTSLtm_pos,859.0,0.09938043128392114,0.3443436706410336,0.16177553160706482,11DOCRTSLtm
11DOCRTSLtr_neg,859.0,0.09938043128392114,0.3443436706410336,0.16177553160706482,11DOCRTSLtr
11DOCRTSTRNtm_pos,859.0,0.09938043128392114,0.3443436706410336,0.16177553160706482,11DOCRTSTRNtm
11DOCRTSTRNtr_neg,859.0,0.09938043128392114,0.3443436706410336,0.16177553160706482,11DOCRTSTRNtr
13DAMPPOX_pos,827.0,0.19061758915489446,0.21097006480333766,0.2677055847690062,13DAMPPOX
1MNCAMti_pos,1010.0,0.0011620208925088931,0.6391204795527407,0.006108605242271521,1MNCAMti
1PPDCRp_pos,813.0,0.24588863383026915,0.19487334456782843,0.32690066632191234,1PPDCRp
1a25DHVITD3TRn_pos,878.0,0.06442727129161098,0.40699799695581246,0.11895862443639019,1a25DHVITD3TRn
24NPHte_neg,865.0,0.08699845363819925,0.38353026735326634,0.1488063102528005,24NPHte
24_25DHVITD2t_pos,879.0,0.06291258855031737,0.3917397900164441,0.11691539428972493,24_25DHVITD2t
24_25DHVITD2tm_pos,879.0,0.06291258855031737,0.3917397900164441,0.11691539428972493,24_25DHVITD2tm
24_25DHVITD3t_pos,878.0,0.06442727129161098,0.40699799695581246,0.11895862443639019,24_25DHVITD3t
24_25DHVITD3tm_pos,880.0,0.061427465809117,0.4162773198824721,0.11477588448464361,24_25DHVITD3tm
24_25VITD2Hm_pos,879.0,0.06291258855031737,0.3917397900164441,0.11691539428972493,24_25VITD2Hm
24_25VITD3Hm_pos,880.0,0.061427465809117,0.4162773198824721,0.11477588448464361,24_25VITD3Hm
